Width Cost ProblemSolvingTime TotalTime Nthreads
15 1 0.011956 0.012763 16
15 1 0.000777 0.020990 1
15 1 0.018569 0.019249 32
15 1 0.014960 0.015746 4
15 1 0.008518 0.009330 8
20 1 0.060873 0.061643 16
20 1 0.000851 0.717786 1
20 1 0.039117 0.039879 32
20 1 0.273445 0.274276 4
20 1 0.116731 0.117584 8
25 1 1.946579 1.947418 16
25 1 0.000787 26.217442 1
25 1 0.957846 0.958635 32
25 1 9.426792 9.427645 4
25 1 4.128552 4.129504 8
27 1 7.921174 7.922053 16
27 1 0.001279 107.029962 1
27 1 3.863672 3.864493 32
27 1 38.752955 38.753816 4
27 1 16.945457 16.946252 8
3 30 0.002426 0.003361 16
3 30 0.000667 0.001464 1
3 30 0.002026 0.002961 32
3 30 0.001144 0.001800 4
3 30 0.003026 0.003761 8
6 2 0.009018 0.009843 16
6 2 0.001643 0.002492 1
6 2 0.017966 0.018831 32
6 2 0.000998 0.001680 4
6 2 0.002910 0.003594 8
