Width;Result;ProblemSolvingTime;TotalTime;Nthreads;SpeeUp
3;30;0,000667;0,001464;1;1
6;2;0,001643;0,002492;1;1
15;1;0,000777;0,02099;1;1
20;1;0,000851;0,717786;1;1
25;1;0,000787;26,217442;1;1
27;1;0,001279;107,029962;1;1
3;30;0,001144;0,0018;4;0,813333333
6;2;0,000998;0,00168;4;1,483333333
15;1;0,01496;0,015746;4;1,333036962
20;1;0,273445;0,274276;4;2,617020811
25;1;9,426792;9,427645;4;2,780911033
27;1;38,752955;38,753816;4;2,761791561
3;30;0,003026;0,003761;8;0,389258176
6;2;0,00291;0,003594;8;0,693377852
15;1;0,008518;0,00933;8;2,249732047
20;1;0,116731;0,117584;8;6,104452987
25;1;4,128552;4,129504;8;6,348811383
27;1;16,945457;16,946252;8;6,315848602
3;30;0,002426;0,003361;16;0,435584647
6;2;0,009018;0,009843;16;0,253174845
15;1;0,011956;0,012763;16;1,644597665
20;1;0,060873;0,061643;16;11,64424184
25;1;1,946579;1,947418;16;13,462668
27;1;7,921174;7,922053;16;13,51038197
3;30;0,002026;0,002961;32;0,494427558
6;2;0,017966;0,018831;32;0,13233498
15;1;0,018569;0,019249;32;1,090446257
20;1;0,039117;0,039879;32;17,99909727
25;1;0,957846;0,958635;32;27,34872188
27;1;3,863672;3,864493;32;27,69573189
