Width Cost ProblemSolvingTime TotalTime Nthreads
15 1 0.012071 0.012769 16
15 1 0.000777 0.021375 1
15 1 0.016274 0.017082 32
15 1 0.014694 0.015563 4
15 1 0.008277 0.009019 8
20 1 0.064323 0.065044 16
20 1 0.000697 0.721725 1
20 1 0.040573 0.041346 32
20 1 0.265405 0.266139 4
20 1 0.116919 0.117701 8
25 1 1.955290 1.955972 16
25 1 0.000763 26.216325 1
25 1 0.952255 0.953078 32
25 1 9.424052 9.424901 4
25 1 4.121017 4.121798 8
27 1 7.925277 7.926115 16
27 1 0.001262 107.195425 1
27 1 3.873054 3.873849 32
27 1 38.709910 38.710943 4
27 1 16.787125 16.787890 8
3 30 0.000446 0.001244 16
3 30 0.000747 0.001730 1
3 30 0.000146 0.000944 32
3 30 0.000846 0.001644 4
3 30 0.004695 0.005567 8
6 2 0.008543 0.009319 16
6 2 0.002006 0.003053 1
6 2 0.017751 0.018644 32
6 2 0.005634 0.006482 4
6 2 0.002991 0.003792 8
